Timestamp,ResultStatusCode,Authenticated,LoginUUID,SessionUUID,IPV4ClientIp,IPV6ClientIp,HttpVerb,Method,DeviceId,DeviceString,AgentId,AgentString,OsId,OsString,ApplicationUUID,ApplicationReleaseString,ApplicationVersionCode,UserDefined
2017-12-07T10:16:52.657-0500,200,0,,,127.0.0.1,,POST,authenticateAPI,,,,Apache-HttpClient/4.3.5 (java 1.5),,,B8FAA490-199F-4DA3-AFEE-CB6FEBE9A96C,,0.5.97,
2017-12-07T10:16:54.226-0500,200,0,,,127.0.0.1,,POST,login,,,,Apache-HttpClient/4.3.5 (java 1.5),,,B8FAA490-199F-4DA3-AFEE-CB6FEBE9A96C,,0.5.97,
2017-12-07T15:16:56.082+0000,200,1,8A7FB734-F74F-4A2C-A8F0-414F85110603,B37626A7-61DB-E711-810B-0A719F038A93,127.0.0.1,,GET,getRoles,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",,,B8FAA490-199F-4DA3-AFEE-CB6FEBE9A96C,,0.5.97,
2017-12-07T15:17:01.180+0000,500,1,8A7FB734-F74F-4A2C-A8F0-414F85110603,B37626A7-61DB-E711-810B-0A719F038A93,127.0.0.1,,GET,getNotificationByUUID,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",,,B8FAA490-199F-4DA3-AFEE-CB6FEBE9A96C,,0.5.97,
2017-12-07T15:20:12.155+0000,200,1,8A7FB734-F74F-4A2C-A8F0-414F85110603,B37626A7-61DB-E711-810B-0A719F038A93,127.0.0.1,,GET,getNotificationByUUID,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",,,B8FAA490-199F-4DA3-AFEE-CB6FEBE9A96C,,0.5.97,
2017-12-07T15:32:51.036+0000,401,0,,B37626A7-61DB-E711-810B-0A719F038A93,127.0.0.1,,GET,getNotificationByUUID,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",,,B8FAA490-199F-4DA3-AFEE-CB6FEBE9A96C,,0.5.97,
2017-12-07T15:32:54.943+0000,200,0,,,127.0.0.1,,POST,login,,,,Apache-HttpClient/4.3.5 (java 1.5),,,B8FAA490-199F-4DA3-AFEE-CB6FEBE9A96C,,0.5.97,
2017-12-07T15:32:56.606+0000,200,1,8A7FB734-F74F-4A2C-A8F0-414F85110603,CA32CEE4-63DB-E711-810B-0A719F038A93,127.0.0.1,,GET,getRoles,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",,,B8FAA490-199F-4DA3-AFEE-CB6FEBE9A96C,,0.5.97,
2017-12-07T15:33:02.446+0000,200,1,8A7FB734-F74F-4A2C-A8F0-414F85110603,CA32CEE4-63DB-E711-810B-0A719F038A93,127.0.0.1,,GET,getNotificationByUUID,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",,,B8FAA490-199F-4DA3-AFEE-CB6FEBE9A96C,,0.5.97,
Timestamp,ResultStatusCode,Authenticated,LoginUUID,SessionUUID,IPV4ClientIp,IPV6ClientIp,HttpVerb,Method,DeviceId,DeviceString,AgentId,AgentString,OsId,OsString,ApplicationUUID,ApplicationReleaseString,ApplicationVersionCode,UserDefined
2017-12-07T12:18:23.167-0500,200,0,,,127.0.0.1,,POST,authenticateAPI,,,,Apache-HttpClient/4.3.5 (java 1.5),,,B8FAA490-199F-4DA3-AFEE-CB6FEBE9A96C,,0.5.97,
2017-12-07T12:18:24.448-0500,200,0,,,127.0.0.1,,POST,login,,,,Apache-HttpClient/4.3.5 (java 1.5),,,B8FAA490-199F-4DA3-AFEE-CB6FEBE9A96C,,0.5.97,
2017-12-07T17:18:26.239+0000,200,1,8A7FB734-F74F-4A2C-A8F0-414F85110603,985736A3-72DB-E711-810B-0A719F038A93,127.0.0.1,,GET,getRoles,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",,,B8FAA490-199F-4DA3-AFEE-CB6FEBE9A96C,,0.5.97,
2017-12-07T17:18:42.958+0000,500,1,8A7FB734-F74F-4A2C-A8F0-414F85110603,985736A3-72DB-E711-810B-0A719F038A93,127.0.0.1,,GET,getNotificationByUUID,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",,,B8FAA490-199F-4DA3-AFEE-CB6FEBE9A96C,,0.5.97,
Timestamp,ResultStatusCode,Authenticated,LoginUUID,SessionUUID,IPV4ClientIp,IPV6ClientIp,HttpVerb,Method,DeviceId,DeviceString,AgentId,AgentString,OsId,OsString,ApplicationUUID,ApplicationReleaseString,ApplicationVersionCode,UserDefined
2017-12-07T12:21:38.906-0500,200,0,,,127.0.0.1,,POST,login,,,,Apache-HttpClient/4.3.5 (java 1.5),,,B8FAA490-199F-4DA3-AFEE-CB6FEBE9A96C,,0.5.97,
2017-12-07T17:21:41.203+0000,200,1,8A7FB734-F74F-4A2C-A8F0-414F85110603,C17B6F18-73DB-E711-810B-0A719F038A93,127.0.0.1,,GET,getRoles,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",,,B8FAA490-199F-4DA3-AFEE-CB6FEBE9A96C,,0.5.97,
2017-12-07T17:21:50.062+0000,500,1,8A7FB734-F74F-4A2C-A8F0-414F85110603,C17B6F18-73DB-E711-810B-0A719F038A93,127.0.0.1,,GET,getNotificationByUUID,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",,,B8FAA490-199F-4DA3-AFEE-CB6FEBE9A96C,,0.5.97,
Timestamp,ResultStatusCode,Authenticated,LoginUUID,SessionUUID,IPV4ClientIp,IPV6ClientIp,HttpVerb,Method,DeviceId,DeviceString,AgentId,AgentString,OsId,OsString,ApplicationUUID,ApplicationReleaseString,ApplicationVersionCode,UserDefined
2017-12-07T12:25:10.335-0500,200,0,,,127.0.0.1,,POST,login,,,,Apache-HttpClient/4.3.5 (java 1.5),,,B8FAA490-199F-4DA3-AFEE-CB6FEBE9A96C,,0.5.97,
2017-12-07T17:25:12.574+0000,200,1,8A7FB734-F74F-4A2C-A8F0-414F85110603,1F7C6E96-73DB-E711-810B-0A719F038A93,127.0.0.1,,GET,getRoles,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",,,B8FAA490-199F-4DA3-AFEE-CB6FEBE9A96C,,0.5.97,
