Timestamp,ResultStatusCode,Authenticated,LoginUUID,SessionUUID,IPV4ClientIp,IPV6ClientIp,HttpVerb,Method,DeviceId,DeviceString,AgentId,AgentString,OsId,OsString,ApplicationUUID,ApplicationReleaseString,ApplicationVersionCode,UserDefined
2018-05-10T12:25:12.137-0400,500,0,,,127.0.0.1,,POST,authenticateAPI,,,,Apache-HttpClient/4.3.5 (java 1.5),,,A4015133-DB0E-492B-8398-DEC306FAB788,,0.0.2,
2018-05-10T12:26:01.170-0400,200,0,,,127.0.0.1,,POST,authenticateAPI,,,,Apache-HttpClient/4.3.5 (java 1.5),,,A4015133-DB0E-492B-8398-DEC306FAB788,,0.0.2,
2018-05-10T12:26:02.999-0400,200,0,,,127.0.0.1,,POST,login,,,,Apache-HttpClient/4.3.5 (java 1.5),,,A4015133-DB0E-492B-8398-DEC306FAB788,,0.0.2,
2018-05-10T16:26:04.732+0000,200,1,73DF4959-70D8-4A60-BA50-DF501E75D22D,D98610D4-6E54-E811-A992-F325D2AED187,127.0.0.1,,GET,getRoles,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36",,,A4015133-DB0E-492B-8398-DEC306FAB788,,0.0.2,
2018-05-10T16:26:07.268+0000,200,1,73DF4959-70D8-4A60-BA50-DF501E75D22D,D98610D4-6E54-E811-A992-F325D2AED187,127.0.0.1,,GET,getProfile,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36",,,A4015133-DB0E-492B-8398-DEC306FAB788,,0.0.2,
2018-05-10T16:26:08.840+0000,200,1,73DF4959-70D8-4A60-BA50-DF501E75D22D,D98610D4-6E54-E811-A992-F325D2AED187,127.0.0.1,,GET,getLoginSecurityLinks,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36",,,A4015133-DB0E-492B-8398-DEC306FAB788,,0.0.2,
2018-05-10T16:26:10.355+0000,404,1,73DF4959-70D8-4A60-BA50-DF501E75D22D,D98610D4-6E54-E811-A992-F325D2AED187,127.0.0.1,,GET,getActivatedLicenses,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36",,,A4015133-DB0E-492B-8398-DEC306FAB788,,0.0.2,
2018-05-10T16:26:12.046+0000,200,1,73DF4959-70D8-4A60-BA50-DF501E75D22D,D98610D4-6E54-E811-A992-F325D2AED187,127.0.0.1,,GET,getOrganizationsLinks,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36",,,A4015133-DB0E-492B-8398-DEC306FAB788,,0.0.2,
2018-05-10T16:27:50.539+0000,200,0,,,127.0.0.1,,POST,authenticateAPI,,,,Apache-HttpClient/4.3.5 (java 1.5),,,A4015133-DB0E-492B-8398-DEC306FAB788,,0.0.2,
2018-05-10T16:27:51.295+0000,200,0,,,127.0.0.1,,POST,login,,,,Apache-HttpClient/4.3.5 (java 1.5),,,A4015133-DB0E-492B-8398-DEC306FAB788,,0.0.2,
