Timestamp,ResultStatusCode,Authenticated,LoginUUID,SessionUUID,IPV4ClientIp,IPV6ClientIp,HttpVerb,Method,DeviceId,DeviceString,AgentId,AgentString,OsId,OsString,ApplicationUUID,ApplicationReleaseString,ApplicationVersionCode,UserDefined
2018-01-17T12:53:25.568-0500,200,0,,,,0:0:0:0:0:0:0:1,POST,authenticateAPI,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36",,,B8FAA490-199F-4DA3-AFEE-CB6FEBE9A96C,,,
2018-01-17T12:53:28.469-0500,200,0,,,,0:0:0:0:0:0:0:1,POST,login,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36",,,B8FAA490-199F-4DA3-AFEE-CB6FEBE9A96C,,,
2018-01-17T17:53:46.223+0000,200,1,58FCEAF2-8754-4CF7-AD32-0482EE7EEC54,FB3CEC4D-AFFB-E711-810D-0A719F038A93,,0:0:0:0:0:0:0:1,GET,getSurveyResponsePivot,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36",,,B8FAA490-199F-4DA3-AFEE-CB6FEBE9A96C,,,
2018-01-17T17:53:52.240+0000,200,1,58FCEAF2-8754-4CF7-AD32-0482EE7EEC54,FB3CEC4D-AFFB-E711-810D-0A719F038A93,,0:0:0:0:0:0:0:1,GET,getSurveyResponsePivot,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36",,,B8FAA490-199F-4DA3-AFEE-CB6FEBE9A96C,,,
2018-01-17T17:54:16.256+0000,200,0,,,,0:0:0:0:0:0:0:1,POST,authenticateAPI,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,,
2018-01-17T17:54:18.657+0000,200,0,,,,0:0:0:0:0:0:0:1,POST,login,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,,
2018-01-17T17:54:22.649+0000,200,1,6F1E557A-3D7E-4594-865E-06C8D913EE4B,883CF06B-AFFB-E711-810D-0A719F038A93,,0:0:0:0:0:0:0:1,GET,getSurveyResponsePivot,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,,
2018-01-17T17:55:27.026+0000,401,1,6F1E557A-3D7E-4594-865E-06C8D913EE4B,883CF06B-AFFB-E711-810D-0A719F038A93,,0:0:0:0:0:0:0:1,GET,getSurveyResponsePivot,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,,
2018-01-17T17:55:47.872+0000,200,1,6F1E557A-3D7E-4594-865E-06C8D913EE4B,883CF06B-AFFB-E711-810D-0A719F038A93,,0:0:0:0:0:0:0:1,GET,getSurveyResponsePivot,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,,
2018-01-17T17:56:02.193+0000,200,1,6F1E557A-3D7E-4594-865E-06C8D913EE4B,883CF06B-AFFB-E711-810D-0A719F038A93,,0:0:0:0:0:0:0:1,GET,getSurveyResponsePivot,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,,
2018-01-17T17:57:24.325+0000,401,0,,883CF06B-AFFB-E711-810D-0A719F038A93,,0:0:0:0:0:0:0:1,GET,getSurveyResponsePivot,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,,
2018-01-17T18:09:48.567+0000,200,0,,,,0:0:0:0:0:0:0:1,POST,authenticateAPI,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,,
2018-01-17T18:09:51.652+0000,200,0,,,,0:0:0:0:0:0:0:1,POST,login,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,,
2018-01-17T18:09:56.189+0000,200,1,EBF90822-54ED-4CBC-8D25-43A3C8DD6DDD,93FFFA96-B1FB-E711-810D-0A719F038A93,,0:0:0:0:0:0:0:1,GET,getSurveyResponsePivot,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,,
Timestamp,ResultStatusCode,Authenticated,LoginUUID,SessionUUID,IPV4ClientIp,IPV6ClientIp,HttpVerb,Method,DeviceId,DeviceString,AgentId,AgentString,OsId,OsString,ApplicationUUID,ApplicationReleaseString,ApplicationVersionCode,UserDefined
