Timestamp,ResultStatusCode,Authenticated,LoginUUID,SessionUUID,IPV4ClientIp,IPV6ClientIp,HttpVerb,Method,DeviceId,DeviceString,AgentId,AgentString,OsId,OsString,ApplicationUUID,ApplicationReleaseString,ApplicationVersionCode,UserDefined
2018-02-27T10:23:54.624-0500,401,1,8A7FB734-F74F-4A2C-A8F0-414F85110603,6F05873A-401B-E811-A992-F325D2AED187,,0:0:0:0:0:0:0:1,GET,getSurveyResponsePivot,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.167 Safari/537.36",,,B8FAA490-199F-4DA3-AFEE-CB6FEBE9A96C,,,
2018-02-27T10:23:58.303-0500,200,0,,,,0:0:0:0:0:0:0:1,POST,login,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.167 Safari/537.36",,,B8FAA490-199F-4DA3-AFEE-CB6FEBE9A96C,,,
2018-02-27T15:24:25.658+0000,200,1,8A7FB734-F74F-4A2C-A8F0-414F85110603,4BFBD839-D21B-E811-A992-F325D2AED187,,0:0:0:0:0:0:0:1,GET,getSurveyResponsePivot,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.167 Safari/537.36",,,B8FAA490-199F-4DA3-AFEE-CB6FEBE9A96C,,,
Timestamp,ResultStatusCode,Authenticated,LoginUUID,SessionUUID,IPV4ClientIp,IPV6ClientIp,HttpVerb,Method,DeviceId,DeviceString,AgentId,AgentString,OsId,OsString,ApplicationUUID,ApplicationReleaseString,ApplicationVersionCode,UserDefined
