Timestamp,ResultStatusCode,Authenticated,LoginUUID,SessionUUID,IPV4ClientIp,IPV6ClientIp,HttpVerb,Method,DeviceId,DeviceString,AgentId,AgentString,OsId,OsString,ApplicationUUID,ApplicationReleaseString,ApplicationVersionCode,UserDefined
2018-03-22T11:10:42.837-0400,500,0,,,,0:0:0:0:0:0:0:1,POST,authenticateAPI,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,,
2018-03-22T11:13:27.237-0400,500,0,,,,0:0:0:0:0:0:0:1,POST,authenticateAPI,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,,
2018-03-22T11:14:04.363-0400,200,0,,,,0:0:0:0:0:0:0:1,POST,authenticateAPI,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,,
2018-03-22T11:14:13.482-0400,200,0,,,,0:0:0:0:0:0:0:1,POST,login,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,,
2018-03-22T15:14:24.527+0000,404,1,6F1E557A-3D7E-4594-865E-06C8D913EE4B,AD4CC9A8-E32D-E811-A992-F325D2AED187,,0:0:0:0:0:0:0:1,GET,getInstanceLinks,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,,
2018-03-22T15:14:33.645+0000,200,1,6F1E557A-3D7E-4594-865E-06C8D913EE4B,AD4CC9A8-E32D-E811-A992-F325D2AED187,,0:0:0:0:0:0:0:1,GET,getInstanceLinks,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,,
2018-03-22T15:19:19.985+0000,200,0,,,,0:0:0:0:0:0:0:1,POST,authenticateAPI,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36",,,A4015133-DB0E-492B-8398-DEC306FAB788,,,
2018-03-22T15:19:22.639+0000,200,0,,,,0:0:0:0:0:0:0:1,POST,login,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36",,,A4015133-DB0E-492B-8398-DEC306FAB788,,,
2018-03-22T15:19:29.918+0000,200,1,CE631C0E-7901-419A-9947-54C7D1F3B348,B25B5964-E42D-E811-A992-F325D2AED187,,0:0:0:0:0:0:0:1,GET,getInstanceLinks,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36",,,A4015133-DB0E-492B-8398-DEC306FAB788,,,
