Timestamp,ResultStatusCode,Authenticated,LoginUUID,SessionUUID,IPV4ClientIp,IPV6ClientIp,HttpVerb,Method,DeviceId,DeviceString,AgentId,AgentString,OsId,OsString,ApplicationUUID,ApplicationReleaseString,ApplicationVersionCode,UserDefined
2017-12-06T10:24:44.486-0500,200,0,,,127.0.0.1,,POST,login,,,,Apache-HttpClient/4.3.5 (java 1.5),,,B8FAA490-199F-4DA3-AFEE-CB6FEBE9A96C,,0.5.97,
2017-12-06T15:24:46.272+0000,200,1,58FCEAF2-8754-4CF7-AD32-0482EE7EEC54,8B736598-99DA-E711-810B-0A719F038A93,127.0.0.1,,GET,getRoles,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",,,B8FAA490-199F-4DA3-AFEE-CB6FEBE9A96C,,0.5.97,
2017-12-06T15:25:35.243+0000,500,1,58FCEAF2-8754-4CF7-AD32-0482EE7EEC54,8B736598-99DA-E711-810B-0A719F038A93,127.0.0.1,,POST,createNotificationProperties,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",,,B8FAA490-199F-4DA3-AFEE-CB6FEBE9A96C,,0.5.97,
2017-12-06T15:25:41.499+0000,200,0,,,127.0.0.1,,POST,login,,,,Apache-HttpClient/4.3.5 (java 1.5),,,B8FAA490-199F-4DA3-AFEE-CB6FEBE9A96C,,0.5.97,
2017-12-06T15:25:42.761+0000,200,1,58FCEAF2-8754-4CF7-AD32-0482EE7EEC54,826A1EBA-99DA-E711-810B-0A719F038A93,127.0.0.1,,GET,getRoles,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",,,B8FAA490-199F-4DA3-AFEE-CB6FEBE9A96C,,0.5.97,
2017-12-06T15:25:46.041+0000,500,1,58FCEAF2-8754-4CF7-AD32-0482EE7EEC54,826A1EBA-99DA-E711-810B-0A719F038A93,127.0.0.1,,POST,createNotificationProperties,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",,,B8FAA490-199F-4DA3-AFEE-CB6FEBE9A96C,,0.5.97,
2017-12-06T15:25:57.924+0000,500,1,58FCEAF2-8754-4CF7-AD32-0482EE7EEC54,826A1EBA-99DA-E711-810B-0A719F038A93,127.0.0.1,,POST,createNotificationProperties,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",,,B8FAA490-199F-4DA3-AFEE-CB6FEBE9A96C,,0.5.97,
2017-12-06T15:26:01.763+0000,500,1,58FCEAF2-8754-4CF7-AD32-0482EE7EEC54,826A1EBA-99DA-E711-810B-0A719F038A93,127.0.0.1,,POST,createNotificationProperties,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",,,B8FAA490-199F-4DA3-AFEE-CB6FEBE9A96C,,0.5.97,
2017-12-06T15:26:47.383+0000,200,0,,,127.0.0.1,,POST,login,,,,Apache-HttpClient/4.3.5 (java 1.5),,,B8FAA490-199F-4DA3-AFEE-CB6FEBE9A96C,,0.5.97,
