Timestamp,ResultStatusCode,Authenticated,LoginUUID,SessionUUID,IPV4ClientIp,IPV6ClientIp,HttpVerb,Method,DeviceId,DeviceString,AgentId,AgentString,OsId,OsString,ApplicationUUID,ApplicationReleaseString,ApplicationVersionCode,UserDefined
2018-06-20T15:00:29.458-0400,500,0,,,,0:0:0:0:0:0:0:1,POST,authenticateAPI,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,,
2018-06-20T15:01:21.281-0400,200,0,,,,0:0:0:0:0:0:0:1,POST,authenticateAPI,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,,
2018-06-20T15:01:46.950-0400,200,0,,,,0:0:0:0:0:0:0:1,POST,login,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,,
2018-06-20T19:03:18.180+0000,401,0,,1B4B6C55-D1CF-E711-810B-0A719F038A93,,0:0:0:0:0:0:0:1,POST,createEvents,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36",,,B8FAA490-199F-4DA3-AFEE-CB6FEBE9A96C,,,
2018-06-20T19:03:24.028+0000,200,0,,,,0:0:0:0:0:0:0:1,POST,authenticateAPI,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,,
2018-06-20T19:03:26.160+0000,200,0,,,,0:0:0:0:0:0:0:1,POST,login,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,,
2018-06-20T19:03:32.631+0000,401,0,,1B4B6C55-D1CF-E711-810B-0A719F038A93,,0:0:0:0:0:0:0:1,POST,createEvents,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36",,,B8FAA490-199F-4DA3-AFEE-CB6FEBE9A96C,,,
2018-06-20T19:03:46.480+0000,401,0,,1B4B6C55-D1CF-E711-810B-0A719F038A93,,0:0:0:0:0:0:0:1,POST,createEvents,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36",,,B8FAA490-199F-4DA3-AFEE-CB6FEBE9A96C,,,
2018-06-20T19:04:11.482+0000,401,0,,1B4B6C55-D1CF-E711-810B-0A719F038A93,,0:0:0:0:0:0:0:1,POST,createEvents,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36",,,B8FAA490-199F-4DA3-AFEE-CB6FEBE9A96C,,,
2018-06-20T19:05:10.034+0000,401,1,6F1E557A-3D7E-4594-865E-06C8D913EE4B,D9CE7D9B-BC74-E811-A992-F325D2AED187,,0:0:0:0:0:0:0:1,POST,createEvents,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,,
2018-06-20T19:05:20.158+0000,200,0,,,,0:0:0:0:0:0:0:1,POST,authenticateAPI,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,,
2018-06-20T19:05:30.831+0000,200,0,,,,0:0:0:0:0:0:0:1,POST,login,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,,
2018-06-20T19:05:35.621+0000,401,1,6F1E557A-3D7E-4594-865E-06C8D913EE4B,58BB87E7-BC74-E811-A992-F325D2AED187,,0:0:0:0:0:0:0:1,POST,createEvents,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,,
2018-06-20T19:06:00.080+0000,401,1,6F1E557A-3D7E-4594-865E-06C8D913EE4B,58BB87E7-BC74-E811-A992-F325D2AED187,,0:0:0:0:0:0:0:1,POST,createEvents,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,,
2018-06-20T19:06:19.404+0000,401,1,6F1E557A-3D7E-4594-865E-06C8D913EE4B,58BB87E7-BC74-E811-A992-F325D2AED187,,0:0:0:0:0:0:0:1,POST,createEvents,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,,
2018-06-20T19:06:26.338+0000,500,1,6F1E557A-3D7E-4594-865E-06C8D913EE4B,58BB87E7-BC74-E811-A992-F325D2AED187,,0:0:0:0:0:0:0:1,GET,getEvents,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,,
