Timestamp,ResultStatusCode,Authenticated,LoginUUID,SessionUUID,IPV4ClientIp,IPV6ClientIp,HttpVerb,Method,DeviceId,DeviceString,AgentId,AgentString,OsId,OsString,ApplicationUUID,ApplicationReleaseString,ApplicationVersionCode,UserDefined
2018-01-04T17:37:29.620+0000,200,1,DF1B8B87-BC84-42BE-A73C-826743825C2C,5D4B2CE6-75F1-E711-810B-0A719F038A93,127.0.0.1,,GET,getInstanceLinks,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,0.0.3,
2018-01-04T17:37:29.681+0000,200,1,DF1B8B87-BC84-42BE-A73C-826743825C2C,5D4B2CE6-75F1-E711-810B-0A719F038A93,127.0.0.1,,GET,getInstanceLinks,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,0.0.3,
2018-01-04T17:37:31.222+0000,200,1,DF1B8B87-BC84-42BE-A73C-826743825C2C,5D4B2CE6-75F1-E711-810B-0A719F038A93,127.0.0.1,,GET,getSurveyResponses,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,0.0.3,
2018-01-04T17:37:31.266+0000,200,1,DF1B8B87-BC84-42BE-A73C-826743825C2C,5D4B2CE6-75F1-E711-810B-0A719F038A93,127.0.0.1,,GET,getSurveyResponses,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,0.0.3,
2018-01-04T17:37:31.393+0000,200,1,DF1B8B87-BC84-42BE-A73C-826743825C2C,5D4B2CE6-75F1-E711-810B-0A719F038A93,127.0.0.1,,GET,getSurveyResponses,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,0.0.3,
2018-01-04T17:37:33.294+0000,200,1,DF1B8B87-BC84-42BE-A73C-826743825C2C,5D4B2CE6-75F1-E711-810B-0A719F038A93,127.0.0.1,,GET,getSurveyResponses,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,0.0.3,
2018-01-04T17:37:33.907+0000,404,1,DF1B8B87-BC84-42BE-A73C-826743825C2C,5D4B2CE6-75F1-E711-810B-0A719F038A93,127.0.0.1,,GET,getSurveyQuestionOptionsByInstanceLinkUUID,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,0.0.3,
2018-01-04T17:37:33.907+0000,200,1,DF1B8B87-BC84-42BE-A73C-826743825C2C,5D4B2CE6-75F1-E711-810B-0A719F038A93,127.0.0.1,,GET,getSurveyQuestionsByInstanceLinkUUID,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,0.0.3,
2018-01-04T17:37:51.776+0000,200,1,DF1B8B87-BC84-42BE-A73C-826743825C2C,5D4B2CE6-75F1-E711-810B-0A719F038A93,127.0.0.1,,POST,createInstanceLinks,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,0.0.3,
2018-01-04T17:37:53.466+0000,200,1,DF1B8B87-BC84-42BE-A73C-826743825C2C,5D4B2CE6-75F1-E711-810B-0A719F038A93,127.0.0.1,,POST,createSurveyResponses,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,0.0.3,
